Kuis,Tugas,UTS,UAS,Target,RATA_RATA
83,95,89,38,0,76
74,34,49,87,0,61
90,90,59,39,0,70
52,98,43,31,1,56
55,47,59,58,1,55
85,64,56,75,0,70
94,16,29,24,1,41
35,81,95,77,0,72
97,40,91,81,0,77
31,70,65,85,0,63
31,66,56,13,1,42
68,70,16,84,0,60
25,24,16,46,1,28
65,87,33,77,0,66
90,25,13,75,1,51
15,22,90,47,1,44
30,27,86,74,1,54
55,39,31,89,1,54
94,30,74,87,0,71
48,90,17,81,1,59
11,88,82,40,1,55
69,96,79,27,0,68
69,27,83,21,1,50
67,43,93,83,0,72
40,67,10,63,1,45
80,59,64,81,0,71
62,14,95,99,0,68
37,63,16,42,1,40
60,32,26,12,1,33
76,53,12,55,1,49
50,13,68,22,1,38
50,28,65,30,1,43
47,90,90,53,0,70
11,43,60,87,1,50
26,45,77,92,0,60
26,86,30,55,1,49
33,76,61,63,1,58
38,89,64,43,1,59
68,27,53,99,0,62
58,88,13,84,0,61
